Type	Label
congressperson	A000009
congressperson	A000014
congressperson	A000017
congressperson	A000018
congressperson	A000022
congressperson	A000031
congressperson	A000052
congressperson	A000055
congressperson	A000062
congressperson	A000069
congressperson	A000073
congressperson	A000076
congressperson	A000103
congressperson	A000109
congressperson	A000118
congressperson	A000121
congressperson	A000127
congressperson	A000139
congressperson	A000148
congressperson	A000170
congressperson	A000177
congressperson	A000189
congressperson	A000195
congressperson	A000202
congressperson	A000207
congressperson	A000208
congressperson	A000209
congressperson	A000210
congressperson	A000211
congressperson	A000212
congressperson	A000213
congressperson	A000214
congressperson	A000215
congressperson	A000216
congressperson	A000217
congressperson	A000219
congressperson	A000220
congressperson	A000221
congressperson	A000222
congressperson	A000224
congressperson	A000226
congressperson	A000329
congressperson	A000337
congressperson	A000355
congressperson	A000356
congressperson	A000357
congressperson	A000358
congressperson	A000359
congressperson	A000360
congressperson	A000361
congressperson	A000362
congressperson	A000363
congressperson	A000364
congressperson	A000365
congressperson	A000366
congressperson	A000367
congressperson	A000368
congressperson	A000369
congressperson	A000370
congressperson	A000371
congressperson	A000372
congressperson	A000373
congressperson	A000374
congressperson	A000375
congressperson	A000376
congressperson	A000377
congressperson	A000378
congressperson	B000008
congressperson	B000013
congressperson	B000024
congressperson	B000025
congressperson	B000028
congressperson	B000029
congressperson	B000037
congressperson	B000047
congressperson	B000063
congressperson	B000069
congressperson	B000072
congressperson	B000078
congressperson	B000081
congressperson	B000083
congressperson	B000104
congressperson	B000134
congressperson	B000151
congressperson	B000153
congressperson	B000160
congressperson	B000169
congressperson	B000177
congressperson	B000178
congressperson	B000179
congressperson	B000200
congressperson	B000204
congressperson	B000208
congressperson	B000213
congressperson	B000220
congressperson	B000229
congressperson	B000236
congressperson	B000243
congressperson	B000244
congressperson	B000254
congressperson	B000272
congressperson	B000279
congressperson	B000280
congressperson	B000287
congressperson	B000298
congressperson	B000318
congressperson	B000330
congressperson	B000351
congressperson	B000358
congressperson	B000362
congressperson	B000363
congressperson	B000371
congressperson	B000382
congressperson	B000384
congressperson	B000392
congressperson	B000400
congressperson	B000401
congressperson	B000403
congressperson	B000408
congressperson	B000410
congressperson	B000420
congressperson	B000422
congressperson	B000431
congressperson	B000432
congressperson	B000436
congressperson	B000444
congressperson	B000451
congressperson	B000461
congressperson	B000462
congressperson	B000463
congressperson	B000468
congressperson	B000472
congressperson	B000490
congressperson	B000506
congressperson	B000517
congressperson	B000518
congressperson	B000538
congressperson	B000550
congressperson	B000551
congressperson	B000556
congressperson	B000567
congressperson	B000574
congressperson	B000575
congressperson	B000576
congressperson	B000586
congressperson	B000589
congressperson	B000592
congressperson	B000600
congressperson	B000605
congressperson	B000611
congressperson	B000615
congressperson	B000617
congressperson	B000619
congressperson	B000620
congressperson	B000622
congressperson	B000639
congressperson	B000644
congressperson	B000647
congressperson	B000648
congressperson	B000652
congressperson	B000657
congressperson	B000666
congressperson	B000668
congressperson	B000682
congressperson	B000711
congressperson	B000716
congressperson	B000736
congressperson	B000740
congressperson	B000755
congressperson	B000756
congressperson	B000771
congressperson	B000778
congressperson	B000780
congressperson	B000788
congressperson	B000798
congressperson	B000817
congressperson	B000825
congressperson	B000839
congressperson	B000845
congressperson	B000851
congressperson	B000862
congressperson	B000871
congressperson	B000880
congressperson	B000890
congressperson	B000893
congressperson	B000897
congressperson	B000910
congressperson	B000911
congressperson	B000917
congressperson	B000918
congressperson	B000919
congressperson	B000944
congressperson	B000953
congressperson	B000966
congressperson	B000967
congressperson	B000971
congressperson	B000993
congressperson	B000996
congressperson	B000997
congressperson	B001008
congressperson	B001026
congressperson	B001036
congressperson	B001057
congressperson	B001063
congressperson	B001066
congressperson	B001076
congressperson	B001077
congressperson	B001080
congressperson	B001091
congressperson	B001092
congressperson	B001102
congressperson	B001111
congressperson	B001113
congressperson	B001126
congressperson	B001135
congressperson	B001149
congressperson	B001153
congressperson	B001156
congressperson	B001158
congressperson	B001172
congressperson	B001182
congressperson	B001203
congressperson	B001209
congressperson	B001210
congressperson	B001213
congressperson	B001220
congressperson	B001221
congressperson	B001223
congressperson	B001224
congressperson	B001225
congressperson	B001226
congressperson	B001227
congressperson	B001228
congressperson	B001229
congressperson	B001230
congressperson	B001231
congressperson	B001232
congressperson	B001233
congressperson	B001234
congressperson	B001235
congressperson	B001236
congressperson	B001237
congressperson	B001238
congressperson	B001239
congressperson	B001240
congressperson	B001241
congressperson	B001242
congressperson	B001243
congressperson	B001244
congressperson	B001245
congressperson	B001246
congressperson	B001247
congressperson	B001248
congressperson	B001249
congressperson	B001250
congressperson	B001251
congressperson	B001252
congressperson	B001253
congressperson	B001254
congressperson	B001255
congressperson	B001256
congressperson	B001257
congressperson	B001258
congressperson	B001259
congressperson	B001260
congressperson	B001261
congressperson	B001262
congressperson	B001263
congressperson	B001264
congressperson	B001265
congressperson	B001266
congressperson	B001267
congressperson	B001268
congressperson	B001269
congressperson	B001270
congressperson	B001271
congressperson	B001272
congressperson	B001273
congressperson	B001274
congressperson	B001275
congressperson	B001276
congressperson	B001277
congressperson	B001278
congressperson	B001279
congressperson	B001280
congressperson	B001281
congressperson	B001282
congressperson	B001283
congressperson	B001284
congressperson	B001285
congressperson	B001286
congressperson	B001287
congressperson	B001288
congressperson	B001289
congressperson	B001290
congressperson	B001291
congressperson	B001292
congressperson	B001293
congressperson	B001294
congressperson	B001295
congressperson	B001296
congressperson	B001297
congressperson	B001298
congressperson	B001299
congressperson	B001300
congressperson	B001301
congressperson	B001302
congressperson	B001303
congressperson	B001304
congressperson	B001305
congressperson	B001306
congressperson	B001307
congressperson	B001308
congressperson	B001309
congressperson	B001310
congressperson	B001311
congressperson	B001312
congressperson	B001313
congressperson	C000052
congressperson	C000059
congressperson	C000071
congressperson	C000073
congressperson	C000077
congressperson	C000079
congressperson	C000100
congressperson	C000107
congressperson	C000116
congressperson	C000120
congressperson	C000127
congressperson	C000134
congressperson	C000137
congressperson	C000141
congressperson	C000143
congressperson	C000158
congressperson	C000164
congressperson	C000165
congressperson	C000174
congressperson	C000178
congressperson	C000191
congressperson	C000201
congressperson	C000220
congressperson	C000228
congressperson	C000243
congressperson	C000261
congressperson	C000263
congressperson	C000266
congressperson	C000269
congressperson	C000275
congressperson	C000286
congressperson	C000293
congressperson	C000312
congressperson	C000321
congressperson	C000322
congressperson	C000344
congressperson	C000345
congressperson	C000356
congressperson	C000371
congressperson	C000377
congressperson	C000380
congressperson	C000385
congressperson	C000388
congressperson	C000409
congressperson	C000431
congressperson	C000448
congressperson	C000462
congressperson	C000475
congressperson	C000476
congressperson	C000488
congressperson	C000494
congressperson	C000503
congressperson	C000512
congressperson	C000523
congressperson	C000537
congressperson	C000542
congressperson	C000555
congressperson	C000556
congressperson	C000560
congressperson	C000567
congressperson	C000581
congressperson	C000598
congressperson	C000618
congressperson	C000621
congressperson	C000629
congressperson	C000633
congressperson	C000634
congressperson	C000638
congressperson	C000640
congressperson	C000646
congressperson	C000653
congressperson	C000666
congressperson	C000670
congressperson	C000682
congressperson	C000705
congressperson	C000709
congressperson	C000714
congressperson	C000721
congressperson	C000722
congressperson	C000735
congressperson	C000737
congressperson	C000754
congressperson	C000767
congressperson	C000773
congressperson	C000780
congressperson	C000782
congressperson	C000787
congressperson	C000788
congressperson	C000794
congressperson	C000799
congressperson	C000802
congressperson	C000807
congressperson	C000809
congressperson	C000813
congressperson	C000830
congressperson	C000836
congressperson	C000845
congressperson	C000846
congressperson	C000858
congressperson	C000868
congressperson	C000871
congressperson	C000873
congressperson	C000877
congressperson	C000880
congressperson	C000903
congressperson	C000919
congressperson	C000925
congressperson	C000962
congressperson	C000979
congressperson	C000984
congressperson	C000992
congressperson	C000994
congressperson	C001006
congressperson	C001034
congressperson	C001035
congressperson	C001036
congressperson	C001037
congressperson	C001038
congressperson	C001039
congressperson	C001040
congressperson	C001041
congressperson	C001042
congressperson	C001043
congressperson	C001044
congressperson	C001045
congressperson	C001046
congressperson	C001047
congressperson	C001048
congressperson	C001049
congressperson	C001050
congressperson	C001051
congressperson	C001052
congressperson	C001053
congressperson	C001054
congressperson	C001055
congressperson	C001056
congressperson	C001057
congressperson	C001058
congressperson	C001059
congressperson	C001060
congressperson	C001061
congressperson	C001062
congressperson	C001063
congressperson	C001064
congressperson	C001065
congressperson	C001066
congressperson	C001067
congressperson	C001068
congressperson	C001069
congressperson	C001070
congressperson	C001071
congressperson	C001072
congressperson	C001073
congressperson	C001074
congressperson	C001075
congressperson	C001076
congressperson	C001077
congressperson	C001078
congressperson	C001079
congressperson	C001080
congressperson	C001081
congressperson	C001082
congressperson	C001083
congressperson	C001084
congressperson	C001085
congressperson	C001086
congressperson	C001087
congressperson	C001088
congressperson	C001089
congressperson	C001090
congressperson	C001091
congressperson	C001092
congressperson	C001093
congressperson	C001094
congressperson	C001095
congressperson	C001096
congressperson	C001097
congressperson	C001098
congressperson	C001099
congressperson	C001100
congressperson	C001101
congressperson	C001102
congressperson	C001103
congressperson	C001104
congressperson	C001105
congressperson	C001106
congressperson	C001107
congressperson	C001108
congressperson	C001109
congressperson	C001110
congressperson	C001111
congressperson	C001112
congressperson	C001113
congressperson	C001114
congressperson	C001115
congressperson	C001116
congressperson	C001117
congressperson	C001118
congressperson	C001119
congressperson	C001120
congressperson	C001121
congressperson	C001122
congressperson	C001123
congressperson	C001124
congressperson	C001125
congressperson	C001126
congressperson	C001131
congressperson	D000017
congressperson	D000018
congressperson	D000030
congressperson	D000032
congressperson	D000037
congressperson	D000038
congressperson	D000041
congressperson	D000043
congressperson	D000044
congressperson	D000046
congressperson	D000051
congressperson	D000064
congressperson	D000065
congressperson	D000096
congressperson	D000102
congressperson	D000106
congressperson	D000114
congressperson	D000122
congressperson	D000125
congressperson	D000131
congressperson	D000136
congressperson	D000168
congressperson	D000183
congressperson	D000185
congressperson	D000191
congressperson	D000197
congressperson	D000203
congressperson	D000209
congressperson	D000210
congressperson	D000211
congressperson	D000216
congressperson	D000217
congressperson	D000220
congressperson	D000222
congressperson	D000231
congressperson	D000234
congressperson	D000241
congressperson	D000255
congressperson	D000259
congressperson	D000267
congressperson	D000269
congressperson	D000275
congressperson	D000279
congressperson	D000294
congressperson	D000299
congressperson	D000312
congressperson	D000326
congressperson	D000327
congressperson	D000344
congressperson	D000355
congressperson	D000359
congressperson	D000366
congressperson	D000373
congressperson	D000388
congressperson	D000399
congressperson	D000401
congressperson	D000407
congressperson	D000409
congressperson	D000416
congressperson	D000419
congressperson	D000424
congressperson	D000429
congressperson	D000432
congressperson	D000434
congressperson	D000435
congressperson	D000446
congressperson	D000451
congressperson	D000466
congressperson	D000471
congressperson	D000474
congressperson	D000482
congressperson	D000492
congressperson	D000499
congressperson	D000523
congressperson	D000533
congressperson	D000534
congressperson	D000537
congressperson	D000548
congressperson	D000549
congressperson	D000558
congressperson	D000563
congressperson	D000566
congressperson	D000574
congressperson	D000586
congressperson	D000592
congressperson	D000593
congressperson	D000595
